#,漢字,等價,異形,聲母,韻母,調
1688,騆,,,曾之,秋周,1
1689,𦭴,,,曾之,秋周,1
1690,稠,,,曾之,秋周,1
1691,𧣷,,,曾之,秋周,1
1692,啁,,,曾之,秋周,1
1693,𥑸,,,曾之,秋周,1
1694,𥿦,,,曾之,秋周,1
1695,䎇,,,曾之,秋周,1
1696,𦭸,,,曾之,秋周,1
1697,賙,,,曾之,秋周,1
1698,銂,,,曾之,秋周,1
1699,侜,,,曾之,秋周,1
1700,𥺝,,,曾之,秋周,1
1701,𢽧,,,曾之,秋周,1
1702,晭,,,曾之,秋周,1
1703,𣆔,,,曾之,秋周,1
1704,珘,,,曾之,秋周,1
1705,𩶣,,,曾之,秋周,1
1706,輈,,,曾之,秋周,1
1707,輖,,,曾之,秋周,1
1708,𧻖,,,曾之,秋周,1
1709,矪,,,曾之,秋周,1
1710,鵃,,,曾之,秋周,1
1711,𩢸,,,曾之,秋周,1
1712,徟,,,曾之,秋周,1
1713,譸,,,曾之,秋周,1
1714,酒,,,曾之,秋周,2
1715,咒,,,曾之,秋周,3
1716,呪,,,曾之,秋周,3
1717,噣,,,曾之,秋周,3
1718,蛀,,,曾之,秋周,3
1719,就,,,曾之,秋周,7
1720,㠇,,,曾之,秋周,7
1721,鷲,,,曾之,秋周,7
1722,𩀻,,,曾之,秋周,7
1723,僦,,,曾之,秋周,7
1724,𧫾,,,曾之,秋周,7
1725,扭,,,日女,秋周,2
1726,鈕,,,日女,秋周,2
1727,杻,,,日女,秋周,2
1728,杽,,,日女,秋周,2
1729,𨥋,,,日女,秋周,2
1730,紐,,,日女,秋周,2
1731,𨳞,,,日女,秋周,2
1732,𪏲,,,日女,秋周,2
1733,忸,,,日女,秋周,2
1734,收,,,時授,秋周,1
1735,𠈅,,,時授,秋周,1
1736,脩,,,時授,秋周,1
1737,修,,,時授,秋周,1
1738,羞,,,時授,秋周,1
1739,饈,,,時授,秋周,1
1740,𩘭,,,時授,秋周,1
1741,𥅪,,,時授,秋周,1
1742,𦪋,,,時授,秋周,1
1743,䡭,,,時授,秋周,1
1744,首,,,時授,秋周,2
1745,守,,,時授,秋周,2
1746,艏,,,時授,秋周,2
1747,秀,,,時授,秋周,3
1748,繡,,,時授,秋周,3
1749,綉,,,時授,秋周,3
1750,鏽,,,時授,秋周,3
1751,鏥,,,時授,秋周,3
1752,首,,,時授,秋周,3
1753,獸,,,時授,秋周,3
1754,狩,,,時授,秋周,3
1755,宿,,,時授,秋周,3
1756,琇,,,時授,秋周,3
1757,𢓵,,,時授,秋周,3
1758,讐,,,時授,秋周,5
1759,讎,,,時授,秋周,5
1760,仇,,,時授,秋周,5
1761,酬,,,時授,秋周,5
1762,酧,,,時授,秋周,5
1763,囚,,,時授,秋周,5
1764,泅,,,時授,秋周,5
1765,犨,,,時授,秋周,5
1766,𣧝,,,時授,秋周,5
1767,𢘄,,,時授,秋周,5
1768,雔,,,時授,秋周,5
1769,栦,,,時授,秋周,5
1770,魗,,,時授,秋周,5
1771,𢛇,,,時授,秋周,5
1772,䅎,,,時授,秋周,5
1773,稠,,,時授,秋周,5
1774,𧣕,,,時授,秋周,5
1775,鮂,,,時授,秋周,5
1776,酋,,,時授,秋周,5
1777,售,,,時授,秋周,5
1778,壽,,,時授,秋周,7
1779,受,,,時授,秋周,7
1780,授,,,時授,秋周,7
1781,綬,,,時授,秋周,7
1782,袖,,,時授,秋周,7
1783,岫,,,時授,秋周,7
1784,𪺣,,,時授,秋周,7
1785,𧚯,,,時授,秋周,7
1786,𧌅,,,時授,秋周,7
1787,憂,,,鶯亦,秋周,1
1788,耰,,,鶯亦,秋周,1
1789,優,,,鶯亦,秋周,1
1790,𥣯,,,鶯亦,秋周,1
1791,呦,,,鶯亦,秋周,1
1792,麀,,,鶯亦,秋周,1
1793,懮,,,鶯亦,秋周,1
1794,鄾,,,鶯亦,秋周,1
1795,𧀥,,,鶯亦,秋周,1
1796,𢆶,,,鶯亦,秋周,1
1797,㱊,,,鶯亦,秋周,1
1798,嚘,,,鶯亦,秋周,1
1799,𥜚,,,鶯亦,秋周,1
1800,有,,,鶯亦,秋周,2
1801,牖,,,鶯亦,秋周,2
1802,友,,,鶯亦,秋周,2
1803,卣,,,鶯亦,秋周,2
1804,酉,,,鶯亦,秋周,2
1805,誘,,,鶯亦,秋周,2
1806,黝,,,鶯亦,秋周,2
1807,蜏,,,鶯亦,秋周,2
1808,莠,,,鶯亦,秋周,2
1809,䱂,,,鶯亦,秋周,2
1810,蚴,,,鶯亦,秋周,2
1811,⿰酉幼,,,鶯亦,秋周,2
1812,𡜳,,,鶯亦,秋周,2
1813,𣧥,,,鶯亦,秋周,2
1814,𨣆,,,鶯亦,秋周,2
1815,𠢢,,,鶯亦,秋周,2
1816,䬀,,,鶯亦,秋周,2
1817,懓,,,鶯亦,秋周,2
1818,𦏇,,,鶯亦,秋周,2
1819,幼,,,鶯亦,秋周,3
1820,泑,,,鶯亦,秋周,3
1821,由,,,鶯亦,秋周,5
1822,繇,,,鶯亦,秋周,5
1823,油,,,鶯亦,秋周,5
1824,猶,,,鶯亦,秋周,5
1825,輶,,,鶯亦,秋周,5
1826,猷,,,鶯亦,秋周,5
1827,尤,,,鶯亦,秋周,5
1828,訧,,,鶯亦,秋周,5
1829,郵,,,鶯亦,秋周,5
1830,柔,,,鶯亦,秋周,5
1831,游,,,鶯亦,秋周,5
1832,𩹊,,,鶯亦,秋周,5
1833,攸,,,鶯亦,秋周,5
1834,滺,,,鶯亦,秋周,5
1835,悠,,,鶯亦,秋周,5
1836,斿,,,鶯亦,秋周,5
1837,遊,,,鶯亦,秋周,5
1838,蝣,,,鶯亦,秋周,5
1839,蝤,,,鶯亦,秋周,5
1840,鮋,,,鶯亦,秋周,5
1841,冘,,,鶯亦,秋周,5
1842,扰,,,鶯亦,秋周,5
1843,猱,,,鶯亦,秋周,5
1844,遒,,,鶯亦,秋周,5
1845,輮,,,鶯亦,秋周,5
1846,揉,,,鶯亦,秋周,5
1847,𤷊,,,鶯亦,秋周,5
1848,𧰰,,,鶯亦,秋周,5
1849,𨙂,,,鶯亦,秋周,5
1850,鞣,,,鶯亦,秋周,5
1851,鋚,,,鶯亦,秋周,5
1852,㾞,,,鶯亦,秋周,5
1853,𩗚,,,鶯亦,秋周,5
1854,酋,,,鶯亦,秋周,5
1855,逰,,,鶯亦,秋周,5
1856,又,,,鶯亦,秋周,7
1857,褎,,,鶯亦,秋周,7
1858,右,,,鶯亦,秋周,7
1859,佑,,,鶯亦,秋周,7
1860,祐,,,鶯亦,秋周,7
1861,柚,,,鶯亦,秋周,7
1862,宥,,,鶯亦,秋周,7
1863,侑,,,鶯亦,秋周,7
1864,囿,,,鶯亦,秋周,7
1865,䆜,,,鶯亦,秋周,7
1866,䞥,,,鶯亦,秋周,7
1867,酭,,,鶯亦,秋周,7
1868,迶,,,鶯亦,秋周,7
1869,姷,,,鶯亦,秋周,7
1870,鼬,,,鶯亦,秋周,7
1871,繆,,,蒙美,秋周,5
1872,飂,,,蒙美,秋周,5
1873,謬,,,蒙美,秋周,7
1874,繆,,,蒙美,秋周,7
1875,牛,,,語鳥,秋周,5
1876,䒜,,,語鳥,秋周,5
1877,𩵠,,,語鳥,秋周,5
1878,𩲍,,,語鳥,秋周,5
1879,秋,,,出,秋周,1
1880,𬓫,,,出,秋周,1
1881,蝵,,,出,秋周,1
1882,揪,,,出,秋周,1
1883,偢,,,出,秋周,1
1884,啾,,,出,秋周,1
1885,鞦,,,出,秋周,1
1886,鰍,,,出,秋周,1
1887,鰌,,,出,秋周,1
1888,揫,,,出,秋周,1
1889,鞧,,,出,秋周,1
1890,鶖,,,出,秋周,1
1891,萩,,,出,秋周,1
1892,𨍊,,,出,秋周,1
1893,䨂,,,出,秋周,1
1894,湫,,,出,秋周,1
1895,楸,,,出,秋周,1
1896,⿰革谷,,,出,秋周,1
1897,秌,,,出,秋周,1
1898,手,,,出,秋周,2
1899,醜,,,出,秋周,2
1900,箒,,,出,秋周,2
1901,臭,,,出,秋周,3
1902,𣗬,,,出,秋周,3
1903,糗,,,出,秋周,3
1904,𩈸,,,出,秋周,3
1905,䠗,,,出,秋周,3
1906,𩝠,,,出,秋周,3
1907,囚,,,出,秋周,5
1908,𠛩,,,出,秋周,5
1909,休,,,非風,秋周,1
1910,幽,,,非風,秋周,1
1911,庥,,,非風,秋周,1
1912,咻,,,非風,秋周,1
1913,恘,,,非風,秋周,1
1914,貅,,,非風,秋周,1
1915,㾋,,,非風,秋周,1
1916,烋,,,非風,秋周,1
1917,𩘈,,,非風,秋周,1
1918,𩢮,,,非風,秋周,1
1919,鵂,,,非風,秋周,1
1920,銝,,,非風,秋周,1
1921,㶭,,,非風,秋周,1
1922,烌,,,非風,秋周,1
1923,𡯐,,,非風,秋周,1
1924,怮,,,非風,秋周,1
1925,朽,,,非風,秋周,2
1926,㱙,,,非風,秋周,2
1927,㽲,,,非風,秋周,2
1928,齅,,,非風,秋周,3
1929,嗅,,,非風,秋周,3
1930,鑶,,,柳,山干,1
1931,覽,,,柳,山干,2
1932,覧,,,柳,山干,2
1933,攬,,,柳,山干,2
1934,欖,,,柳,山干,2
1935,懶,,,柳,山干,2
1936,嬾,,,柳,山干,2
1937,萏,,,柳,山干,2
1938,菼,,,柳,山干,2
1939,擥,,,柳,山干,2
1940,㨆,,,柳,山干,2
1941,顲,,,柳,山干,2
1942,霮,,,柳,山干,2
1943,狧,,,柳,山干,4
1944,𧞪,,,柳,山干,4
1945,拉,,,柳,山干,4
1946,蘭,,,柳,山干,5
1947,攔,,,柳,山干,5
1948,斕,,,柳,山干,5
1949,闌,,,柳,山干,5
1950,籃,,,柳,山干,5
1951,藍,,,柳,山干,5
1952,襤,,,柳,山干,5
1953,繿,,,柳,山干,5
1954,嵐,,,柳,山干,5
1955,婪,,,柳,山干,5
1956,瀾,,,柳,山干,5
1957,䆾,,,柳,山干,5
1958,𨊔,,,柳,山干,5
1959,𩈵,,,柳,山干,5
1960,𨬒,,,柳,山干,5
1961,讕,,,柳,山干,5
1962,𧥈,,,柳,山干,5
1963,𪇖,,,柳,山干,5
1964,䰐,,,柳,山干,5
1965,㘓,,,柳,山干,5
1966,㔋,,,柳,山干,5
1967,𥌻,,,柳,山干,5
1968,儖,,,柳,山干,5
1969,欄,,,柳,山干,5
1970,濫,,,柳,山干,7
1971,𧸦,,,柳,山干,7
1972,纜,,,柳,山干,7
1973,爛,,,柳,山干,7
1974,瓓,,,柳,山干,7
1975,𣩼,,,柳,山干,7
1976,㜮,,,柳,山干,7
1977,嚂,,,柳,山干,7
1978,懢,,,柳,山干,7
1979,灡,,,柳,山干,7
1980,臘,,,柳,山干,8
1981,臈,,,柳,山干,8
1982,鑞,,,柳,山干,8
1983,爉,,,柳,山干,8
1984,蠟,,,柳,山干,8
1985,獵,,,柳,山干,8
1986,粒,,,柳,山干,8
1987,辣,,,柳,山干,8
1988,辢,,,柳,山干,8
1989,捋,,,柳,山干,8
1990,𪙷,,,柳,山干,8
1991,拉,,,柳,山干,8
1992,𩧆,,,柳,山干,8
1993,𩃜,,,柳,山干,8
1994,𦒦,,,柳,山干,8
1995,䃳,,,柳,山干,8
1996,班,,,邊,山干,1
1997,斑,,,邊,山干,1
1998,斒,,,邊,山干,1
1999,瘢,,,邊,山干,1
2000,頒,,,邊,山干,1
2001,邦,,,邊,山干,1
2002,板,,,邊,山干,2
2003,版,,,邊,山干,2
2004,坂,,,邊,山干,2
2005,阪,,,邊,山干,2
2006,舨,,,邊,山干,2
2007,鈑,,,邊,山干,2
2008,蝂,,,邊,山干,2
2009,昄,,,邊,山干,2
2010,岅,,,邊,山干,2
2011,柄,,,邊,山干,3
2012,扮,,,邊,山干,3
2013,哵,,,邊,山干,4
2014,灹,,,邊,山干,4
2015,𨋐,,,邊,山干,4
2016,棚,,,邊,山干,5
2017,平,,,邊,山干,5
2018,輣,,,邊,山干,5
2019,病,,,邊,山干,7
2020,叐,,,邊,山干,8
2021,拔,,,邊,山干,8
2022,魃,,,邊,山干,8
2023,馛,,,邊,山干,8
2024,炦,,,邊,山干,8
2025,䣮,,,邊,山干,8
2026,跋,,,邊,山干,8
2027,茇,,,邊,山干,8
2028,犮,,,邊,山干,8
2029,干,,,求,山干,1
2030,竿,,,求,山干,1
2031,玕,,,求,山干,1
2032,肝,,,求,山干,1
2033,杆,,,求,山干,1
2034,奸,,,求,山干,1
2035,姦,,,求,山干,1
2036,柑,,,求,山干,1
2037,乾,,,求,山干,1
2038,更,,,求,山干,1
2039,粳,,,求,山干,1
2040,菅,,,求,山干,1
2041,甘,,,求,山干,1
2042,泔,,,求,山干,1
2043,疳,,,求,山干,1
2044,間,,,求,山干,1
2045,艱,,,求,山干,1
2046,監,,,求,山干,1
2047,旰,,,求,山干,1
2048,㿻,,,求,山干,1
2049,蕑,,,求,山干,1
2050,忓,,,求,山干,1
2051,𩖦,,,求,山干,1
2052,雸,,,求,山干,1
2053,簡,,,求,山干,2
2054,柬,,,求,山干,2
2055,敢,,,求,山干,2
2056,橄,,,求,山干,2
2057,哽,,,求,山干,2
2058,⿷匚敢,,,求,山干,2
2059,骾,,,求,山干,2
2060,感,,,求,山干,2
2061,赶,,,求,山干,2
2062,趕,,,求,山干,2
2063,秆,,,求,山干,2
2064,稈,,,求,山干,2
2065,簳,,,求,山干,2
2066,㔶,,,求,山干,2
2067,澉,,,求,山干,2
2068,䉍,,,求,山干,2
2069,笴,,,求,山干,2
2070,諫,,,求,山干,3
2071,鑑,,,求,山干,3
2072,鑒,,,求,山干,3
2073,監,,,求,山干,3
2074,贛,,,求,山干,3
2075,幹,,,求,山干,3
2076,榦,,,求,山干,3
2077,間,,,求,山干,3
2078,澗,,,求,山干,3
2079,⿰車間,𨎫,,求,山干,3
2080,磵,,,求,山干,3
2081,𩻾,,,求,山干,3
2082,瞷,,,求,山干,3
2083,𦅘,,,求,山干,3
2084,襇,,,求,山干,3
2085,𨣉,,,求,山干,3
2086,甲,,,求,山干,4
2087,胛,,,求,山干,4
2088,鉀,,,求,山干,4
2089,夾,,,求,山干,4
2090,郟,,,求,山干,4
2091,蛤,,,求,山干,4
2092,鴿,,,求,山干,4
2093,割,,,求,山干,4
2094,葛,,,求,山干,4
2095,㕅,,,求,山干,4
2096,𩲣,,,求,山干,4
2097,𩦞,,,求,山干,4
2098,𣁴,,,求,山干,4
2099,合,,,求,山干,4
2100,𪙰,,,求,山干,4
2101,𩌍,,,求,山干,4
2102,啣,,,求,山干,5
2103,銜,,,求,山干,5
2104,汗,,,求,山干,7
2105,䛅,,,求,山干,8
2106,龕,,,氣悉,山干,1
2107,堪,,,氣悉,山干,1
2108,刊,,,氣悉,山干,1
2109,看,,,氣悉,山干,1
2110,坑,,,氣悉,山干,1
2111,嵁,,,氣悉,山干,1
2112,戡,,,氣悉,山干,1
2113,坑,,,氣悉,山干,2
2114,砍,,,氣悉,山干,2
2115,垘,,,氣悉,山干,2
2116,侃,,,氣悉,山干,2
2117,欿,,,氣悉,山干,2
2118,𣽌,,,氣悉,山干,2
2119,㸝,,,氣悉,山干,2
2120,轗,,,氣悉,山干,2
2121,艦,,,氣悉,山干,2
2122,轞,,,氣悉,山干,2
2123,𩜱,,,氣悉,山干,2
2124,檻,,,氣悉,山干,2
2125,看,,,氣悉,山干,3
2126,瞷,,,氣悉,山干,3
2127,闞,,,氣悉,山干,3
2128,勘,,,氣悉,山干,3
2129,戡,,,氣悉,山干,3
2130,嵌,,,氣悉,山干,3
2131,渴,,,氣悉,山干,4
2132,笚,,,氣悉,山干,4
2133,洽,,,氣悉,山干,4
2134,恰,,,氣悉,山干,4
2135,單,,,低聲,山干,1
2136,簞,,,低聲,山干,1
2137,鄲,,,低聲,山干,1
2138,丹,,,低聲,山干,1
2139,珊,,,低聲,山干,1
2140,躭,,,低聲,山干,1
2141,聃,,,低聲,山干,1
2142,擔,,,低聲,山干,1
2143,眈,,,低聲,山干,1
2144,湛,,,低聲,山干,1
2145,⿰氵眈,,,低聲,山干,1
2146,𨊍,,,低聲,山干,1
2147,𨢿,,,低聲,山干,1
2148,䒟,,,低聲,山干,1
2149,䐷,,,低聲,山干,1
2150,𡖓,,,低聲,山干,1
2151,胆,,,低聲,山干,2
2152,膽,,,低聲,山干,2
2153,疸,,,低聲,山干,2
2154,殫,,,低聲,山干,2
2155,亶,,,低聲,山干,2
2156,黵,,,低聲,山干,2
2157,狚,,,低聲,山干,2
2158,癉,,,低聲,山干,2
2159,勯,,,低聲,山干,2
2160,僤,,,低聲,山干,2
2161,薝,,,低聲,山干,2
2162,憚,,,低聲,山干,2
2163,担,,,低聲,山干,3
2164,擔,,,低聲,山干,3
2165,旦,,,低聲,山干,3
2166,鴠,,,低聲,山干,3
2167,㡺,,,低聲,山干,3
2168,𧀻,,,低聲,山干,3
2169,癚,,,低聲,山干,3
2170,𧭃,,,低聲,山干,3
2171,𢘇,,,低聲,山干,3
2172,答,,,低聲,山干,4
2173,褡,,,低聲,山干,4
2174,搭,,,低聲,山干,4
2175,䙣,,,低聲,山干,4
2176,䋎,,,低聲,山干,4
2177,妲,,,低聲,山干,4
2178,溚,,,低聲,山干,4
2179,詚,,,低聲,山干,4
2180,𩏒,,,低聲,山干,4
2181,𨨹,,,低聲,山干,4
2182,鎉,,,低聲,山干,4
2183,談,,,低聲,山干,5
2184,痰,,,低聲,山干,5
2185,壇,,,低聲,山干,5
2186,檀,,,低聲,山干,5
2187,倓,,,低聲,山干,5
2188,郯,,,低聲,山干,5
2189,璮,,,低聲,山干,5
2190,餤,,,低聲,山干,5
2191,顃,,,低聲,山干,5
2192,𧣹,,,低聲,山干,5
2193,惔,,,低聲,山干,5
2194,䃪,,,低聲,山干,5
2195,淡,,,低聲,山干,7
2196,澹,,,低聲,山干,7
2197,鄭,,,低聲,山干,7
2198,但,,,低聲,山干,7
2199,𪉧,,,低聲,山干,7
2200,憚,,,低聲,山干,7
2201,暺,,,低聲,山干,7
2202,彈,,,低聲,山干,7
2203,𠈰,,,低聲,山干,7
2204,湛,,,低聲,山干,7
2205,達,,,低聲,山干,8
2206,遝,,,低聲,山干,8
2207,沓,,,低聲,山干,8
2208,䈳,,,低聲,山干,8
2209,𦑲,,,低聲,山干,8
2210,𦧟,,,低聲,山干,8
2211,𩭣,,,低聲,山干,8
2212,𣝋,,,低聲,山干,8
2213,𠴲,,,低聲,山干,8
2214,䂿,,,低聲,山干,8
2215,踏,,,低聲,山干,8
2216,蹋,,,低聲,山干,8
2217,鞜,,,低聲,山干,8
2218,丼,,,波,山干,1
2219,靁,,,波,山干,1
2220,胖,,,波,山干,3
2221,冇,,,波,山干,3
2222,彭,,,波,山干,5
2223,膨,,,波,山干,5
2224,蟛,,,波,山干,5
2225,螃,,,波,山干,5
2226,評,,,波,山干,5
2227,閛,,,波,山干,5
2228,憉,,,波,山干,5
2229,𨎧,,,波,山干,5
2230,𨅘,,,波,山干,5
2231,枰,,,波,山干,5
2232,掽,,,波,山干,7
2233,鋍,,,波,山干,8
2234,鬻,,,波,山干,8
2235,貪,,,他皆,山干,1
2236,探,,,他皆,山干,1
2237,灘,,,他皆,山干,1
2238,癱,,,他皆,山干,1
2239,攤,,,他皆,山干,1
2240,撐,,,他皆,山干,1
2241,㵅,,,他皆,山干,1
2242,醓,,,他皆,山干,1
2243,嘽,,,他皆,山干,1
2244,⿱人𧴪,,,他皆,山干,1
2245,坦,,,他皆,山干,2
2246,袒,,,他皆,山干,2
2247,襢,,,他皆,山干,2
2248,𬇀,,,他皆,山干,2
2249,毯,,,他皆,山干,2
2250,氊,,,他皆,山干,2
2251,忐,,,他皆,山干,2
2252,䞡,,,他皆,山干,2
2253,𧺟,,,他皆,山干,2
2254,𩑰,,,他皆,山干,2
2255,萏,,,他皆,山干,2
2256,炭,,,他皆,山干,3
2257,𩤧,,,他皆,山干,3
2258,𨂞,,,他皆,山干,3
2259,㨏,,,他皆,山干,3
2260,湠,,,他皆,山干,3
2261,嘆,,,他皆,山干,3
2262,歎,,,他皆,山干,3
2263,探,,,他皆,山干,3
2264,撑,,,他皆,山干,3
2265,𩤞,,,他皆,山干,3
2266,𥉎,,,他皆,山干,3
2267,塔,,,他皆,山干,4
2268,毾,,,他皆,山干,4
2269,闥,,,他皆,山干,4
2270,𨰏,,,他皆,山干,4
2271,𩥑,,,他皆,山干,4
2272,𩝣,,,他皆,山干,4
2273,怛,,,他皆,山干,4
2274,漯,,,他皆,山干,4
2275,撻,,,他皆,山干,4
2276,𧪦,,,他皆,山干,4
2277,㒓,,,他皆,山干,4
2278,橽,,,他皆,山干,4
2279,榻,,,他皆,山干,4
2280,𩌉,,,他皆,山干,4
2281,𨶀,,,他皆,山干,4
2282,蟽,,,他皆,山干,4
2283,塌,,,他皆,山干,4
2284,𡓲,,,他皆,山干,4
2285,榙,,,他皆,山干,4
2286,搭,,,他皆,山干,4
2287,溻,,,他皆,山干,4
2288,𤒻,,,他皆,山干,4
2289,潭,,,他皆,山干,5
2290,𩡝,,,他皆,山干,5
2291,䐺,,,他皆,山干,5
2292,磹,,,他皆,山干,5
2293,鐔,,,他皆,山干,5
2294,壜,,,他皆,山干,5
2295,譚,,,他皆,山干,5
2296,𧽼,,,他皆,山干,5
2297,䆱,,,他皆,山干,5
2298,醰,,,他皆,山干,5
2299,曇,,,他皆,山干,5
2300,藫,,,他皆,山干,5
2301,叠,,,他皆,山干,8
2302,簪,,,曾之,山干,1
2303,簮,,,曾之,山干,1
2304,臢,,,曾之,山干,1
2305,昝,,,曾之,山干,1
2306,寁,,,曾之,山干,1
2307,鐕,,,曾之,山干,1
2308,篸,,,曾之,山干,1
2309,井,,,曾之,山干,2
2310,斬,,,曾之,山干,2
2311,纘,,,曾之,山干,2
2312,瓚,,,曾之,山干,2
2313,趲,,,曾之,山干,2
2314,盞,,,曾之,山干,2
2315,𥭾,,,曾之,山干,2
2316,㭮,,,曾之,山干,2
2317,魙,,,曾之,山干,2
2318,䭕,,,曾之,山干,2
2319,儹,,,曾之,山干,2
2320,鐏,,,曾之,山干,2
2321,贊,,,曾之,山干,3
2322,讚,,,曾之,山干,3
2323,賺,,,曾之,山干,3
2324,站,,,曾之,山干,3
2325,酇,,,曾之,山干,3
2326,囋,,,曾之,山干,3
2327,匝,,,曾之,山干,4
2328,𩿤,,,曾之,山干,4
2329,鉔,,,曾之,山干,4
2330,扎,,,曾之,山干,4
2331,蚻,,,曾之,山干,4
2332,劄,,,曾之,山干,4
2333,紮,,,曾之,山干,4
2334,札,,,曾之,山干,4
2335,⿱火茉,,,曾之,山干,4
2336,浹,,,曾之,山干,4
2337,𠍹,,,曾之,山干,4
2338,殘,,,曾之,山干,5
2339,𢦸,,,曾之,山干,5
2340,𪚃,,,曾之,山干,5
2341,蠶,,,曾之,山干,5
2342,蚕,,,曾之,山干,5
2343,䗝,,,曾之,山干,5
2344,毚,,,曾之,山干,5
2345,巉,,,曾之,山干,5
2346,讒,,,曾之,山干,5
2347,潺,,,曾之,山干,5
2348,慚,,,曾之,山干,5
2349,喦,,,曾之,山干,5
2350,𩽝,,,曾之,山干,5
2351,𪗂,,,曾之,山干,5
2352,鑱,,,曾之,山干,5
2353,䪌,,,曾之,山干,5
2354,𣤱,,,曾之,山干,5
2355,𨊝,,,曾之,山干,5
2356,𩈻,,,曾之,山干,5
2357,饞,,,曾之,山干,5
2358,虥,,,曾之,山干,5
2359,獑,,,曾之,山干,5
2360,𠡡,,,曾之,山干,5
2361,𧥓,,,曾之,山干,5
2362,𥂫,,,曾之,山干,5
2363,暫,,,曾之,山干,7
2364,鏨,,,曾之,山干,7
2365,𨬖,,,曾之,山干,7
2366,站,,,曾之,山干,7
2367,雜,,,曾之,山干,8
2368,閘,,,曾之,山干,8
2369,𢶍,,,曾之,山干,8
2370,㔃,,,曾之,山干,8
2371,䥷,,,曾之,山干,8
2372,𥷩,,,曾之,山干,8
2373,𤄔,,,曾之,山干,8
2374,䪞,,,曾之,山干,8
2375,雥,,,曾之,山干,8
2376,牐,,,曾之,山干,8
2377,諵,,,日女,山干,1
2378,赧,,,日女,山干,2
2379,鑱,,,日女,山干,2
2380,揇,,,日女,山干,2
2381,戁,,,日女,山干,2
2382,僋,,,日女,山干,3
2383,凹,,,日女,山干,4
2384,𠕄,,,日女,山干,4
2385,𪗝,,,日女,山干,4
2386,⿱罒⿴口&CDP-89D5;,,𦊔,日女,山干,4
2387,難,,,日女,山干,5
2388,男,,,日女,山干,5
2389,南,,,日女,山干,5
2390,喃,,,日女,山干,5
2391,楠,,,日女,山干,5
2392,諵,,,日女,山干,5
2393,奻,,,日女,山干,5
2394,𣏵,,,日女,山干,5
2395,難,,,日女,山干,7
2396,婻,,,日女,山干,7
2397,納,,,日女,山干,8
2398,衲,,,日女,山干,8
2399,內,,,日女,山干,8
2400,捺,,,日女,山干,8
2401,豽,,,日女,山干,8
2402,𩚛,,,日女,山干,8
2403,𪗝,,,日女,山干,8
2404,妠,,,日女,山干,8
2405,㨥,,,日女,山干,8
2406,𥍲,,,日女,山干,8
2407,𩹾,,,日女,山干,8
2408,鈉,,,日女,山干,8
2409,軜,,,日女,山干,8
2410,汭,,,日女,山干,8
2411,蚋,,,日女,山干,8
2412,三,,,時授,山干,1
2413,叁,,,時授,山干,1
2414,杉,,,時授,山干,1
2415,衫,,,時授,山干,1
2416,芟,,,時授,山干,1
2417,刪,,,時授,山干,1
2418,山,,,時授,山干,1
2419,𦙱,,,時授,山干,1
2420,𢁘,,,時授,山干,1
2421,潸,,,時授,山干,1
2422,跚,,,時授,山干,1
2423,䀐,,,時授,山干,1
2424,產,,,時授,山干,2
2425,嗓,,,時授,山干,2
2426,傘,,,時授,山干,2
2427,㪚,,,時授,山干,2
2428,散,,,時授,山干,2
2429,疝,,,時授,山干,2
2430,𪙞,,,時授,山干,2
2431,滻,,,時授,山干,2
2432,⿰虫產,,,時授,山干,2
2433,嵼,,,時授,山干,2
2434,摻,,,時授,山干,2
2435,摌,,,時授,山干,2
2436,𣪶,,,時授,山干,2
2437,䴼,,,時授,山干,2
2438,散,,,時授,山干,3
2439,三,,,時授,山干,3
2440,訕,,,時授,山干,3
2441,姓,,,時授,山干,3
2442,性,,,時授,山干,3
2443,繖,,,時授,山干,3
2444,疝,,,時授,山干,3
2445,汕,,,時授,山干,3
2446,釤,,,時授,山干,3
2447,㣌,,,時授,山干,3
2448,潵,,,時授,山干,3
2449,鏾,,,時授,山干,3
2450,殺,,,時授,山干,4
2451,煞,,,時授,山干,4
2452,薩,,,時授,山干,4
2453,颯,,,時授,山干,4
2454,撒,,,時授,山干,4
2455,攃,,,時授,山干,4
2456,霎,,,時授,山干,4
2457,𩗉,,,時授,山干,4
2458,鎩,,,時授,山干,4
2459,摋,,,時授,山干,4
2460,𧱙,,,時授,山干,4
2461,𨐖,,,時授,山干,4
2462,晴,,,時授,山干,5
2463,㺗,,,時授,山干,5
2464,安,,,鶯亦,山干,1
2465,鞍,,,鶯亦,山干,1
2466,鵪,,,鶯亦,山干,1
2467,⿱龍皿,,,鶯亦,山干,1
2468,䳺,,,鶯亦,山干,1
2469,庵,,,鶯亦,山干,1
2470,蓭,,,鶯亦,山干,1
2471,腌,,,鶯亦,山干,1
2472,韽,,,鶯亦,山干,1
2473,馣,,,鶯亦,山干,1
2474,䀂,,,鶯亦,山干,1
2475,侒,,,鶯亦,山干,1
2476,闇,,,鶯亦,山干,2
2477,黯,,,鶯亦,山干,2
2478,諳,,,鶯亦,山干,2
2479,暗,,,鶯亦,山干,3
2480,按,,,鶯亦,山干,3
2481,晏,,,鶯亦,山干,3
2482,案,,,鶯亦,山干,3
2483,鮟,,,鶯亦,山干,3
2484,䤃,,,鶯亦,山干,3
2485,䬓,,,鶯亦,山干,3
